communication_id,client_id,contact_date,contact_type,contact_reason,contacted_by
COM04231,C0222,2021-10-15,Meeting,Follow-up on booking,Mohammed Ali
COM04517,C0233,2021-10-15,Email,Follow-up on booking,Fatima Ahmed
COM08478,C0452,2021-10-16,Email,Satisfaction survey,Ahmed Abdullah
COM03260,C0174,2021-10-16,Phone Call,Quotation request,Ahmed Abdullah
COM04782,C0251,2021-10-21,WhatsApp,Schedule confirmation,Sara Hassan
COM05643,C0296,2021-10-21,Phone Call,Renewal discussion,Noura Salem
COM06059,C0321,2021-10-24,Video Call,Account review,Ahmed Abdullah
COM05082,C0266,2021-10-27,Meeting,Course recommendation,Noura Salem
COM06890,C0363,2021-10-27,Phone Call,Quotation request,Noura Salem
COM05093,C0267,2021-10-28,Meeting,Feedback discussion,Noura Salem
COM08061,C0426,2021-10-28,Meeting,Feedback discussion,Fatima Ahmed
COM04786,C0251,2021-10-28,Meeting,Complaint resolution,Sara Hassan
COM09374,C0498,2021-10-29,Video Call,Thank you message,Noura Salem
COM02970,C0159,2021-11-01,Video Call,Course recommendation,Sara Hassan
COM00133,C0006,2021-11-02,Email,Account review,Mohammed Ali
COM02908,C0158,2021-11-03,Phone Call,General inquiry,Sara Hassan
COM04695,C0243,2021-11-04,Video Call,Invoice query,Mohammed Ali
COM08961,C0479,2021-11-04,Phone Call,Training needs assessment,Mohammed Ali
COM09382,C0498,2021-11-04,Email,New course announcement,Noura Salem
COM04219,C0222,2021-11-07,Email,Course recommendation,Mohammed Ali
COM04499,C0232,2021-11-07,WhatsApp,Satisfaction survey,Fatima Ahmed
COM04803,C0251,2021-11-07,WhatsApp,New course announcement,Sara Hassan
COM03007,C0163,2021-11-07,Video Call,New course announcement,Ahmed Abdullah
COM05244,C0276,2021-11-08,Email,Quotation request,Fatima Ahmed
COM05103,C0268,2021-11-09,Meeting,Training needs assessment,Ahmed Abdullah
COM00292,C0014,2021-11-10,Phone Call,Follow-up on booking,Sara Hassan
COM00295,C0014,2021-11-11,Meeting,Follow-up on booking,Sara Hassan
COM02689,C0146,2021-11-12,Email,Quotation request,Fatima Ahmed
COM05963,C0312,2021-11-12,Phone Call,Thank you message,Noura Salem
COM00951,C0049,2021-11-14,WhatsApp,Satisfaction survey,Sara Hassan
COM00973,C0052,2021-11-16,Video Call,Course recommendation,Ahmed Abdullah
COM04933,C0255,2021-11-16,Meeting,Course recommendation,Ahmed Abdullah
COM08738,C0465,2021-11-17,Video Call,New course announcement,Mohammed Ali
COM04208,C0222,2021-11-17,WhatsApp,Feedback discussion,Mohammed Ali
COM07954,C0419,2021-11-18,Video Call,Satisfaction survey,Mohammed Ali
COM04792,C0251,2021-11-19,WhatsApp,General inquiry,Sara Hassan
COM01363,C0072,2021-11-19,Meeting,Schedule confirmation,Noura Salem
COM05662,C0296,2021-11-20,Meeting,Complaint resolution,Noura Salem
COM02775,C0152,2021-11-20,Email,Feedback discussion,Mohammed Ali
COM04962,C0257,2021-11-21,Video Call,Renewal discussion,Ahmed Abdullah
COM07047,C0371,2021-11-22,Email,General inquiry,Fatima Ahmed
COM02736,C0148,2021-11-23,Video Call,Thank you message,Mohammed Ali
COM02103,C0114,2021-11-23,Meeting,Satisfaction survey,Fatima Ahmed
COM01660,C0088,2021-11-23,WhatsApp,Course recommendation,Sara Hassan
COM03252,C0174,2021-11-29,Meeting,Follow-up on booking,Ahmed Abdullah
COM03274,C0174,2021-11-29,Phone Call,Invoice query,Ahmed Abdullah
COM04908,C0254,2021-11-30,Video Call,Follow-up on booking,Fatima Ahmed
COM05895,C0309,2021-12-01,Email,Follow-up on booking,Sara Hassan
COM09253,C0493,2021-12-01,WhatsApp,Renewal discussion,Sara Hassan
COM06473,C0344,2021-12-04,Phone Call,Satisfaction survey,Noura Salem
COM01141,C0060,2021-12-04,Meeting,Feedback discussion,Sara Hassan
COM08984,C0481,2021-12-06,Email,New course announcement,Sara Hassan
COM06146,C0324,2021-12-06,Phone Call,General inquiry,Noura Salem
COM01356,C0072,2021-12-06,Email,Training needs assessment,Noura Salem
COM03024,C0163,2021-12-07,Phone Call,Thank you message,Ahmed Abdullah
COM04691,C0243,2021-12-07,Email,New course announcement,Mohammed Ali
COM03266,C0174,2021-12-07,Email,Satisfaction survey,Ahmed Abdullah
COM04889,C0254,2021-12-07,Video Call,Course recommendation,Fatima Ahmed
COM02223,C0122,2021-12-10,Meeting,Feedback discussion,Noura Salem
COM02924,C0159,2021-12-14,Email,General inquiry,Sara Hassan
COM04784,C0251,2021-12-16,Meeting,Follow-up on booking,Sara Hassan
COM06120,C0324,2021-12-17,Email,Training needs assessment,Noura Salem
COM06221,C0328,2021-12-17,Phone Call,Follow-up on booking,Mohammed Ali
COM08212,C0435,2021-12-18,Email,Complaint resolution,Ahmed Abdullah
COM02964,C0159,2021-12-18,Video Call,Thank you message,Sara Hassan
COM08208,C0435,2021-12-19,WhatsApp,General inquiry,Ahmed Abdullah
COM07009,C0370,2021-12-21,Email,Training needs assessment,Fatima Ahmed
COM05659,C0296,2021-12-22,Email,Renewal discussion,Noura Salem
COM01653,C0088,2021-12-23,WhatsApp,Training needs assessment,Sara Hassan
COM08999,C0482,2021-12-23,Video Call,Quotation request,Noura Salem
COM04521,C0233,2021-12-24,WhatsApp,Thank you message,Fatima Ahmed
COM01927,C0102,2021-12-26,Video Call,Renewal discussion,Noura Salem
COM04206,C0221,2021-12-26,Meeting,Account review,Ahmed Abdullah
COM02897,C0158,2021-12-27,WhatsApp,Course recommendation,Sara Hassan
COM04914,C0254,2021-12-27,Email,Quotation request,Fatima Ahmed
COM05099,C0268,2021-12-27,Phone Call,Complaint resolution,Ahmed Abdullah
COM05234,C0276,2021-12-28,Meeting,Follow-up on booking,Fatima Ahmed
COM02934,C0159,2021-12-29,WhatsApp,Thank you message,Sara Hassan
COM06208,C0328,2021-12-31,Email,Training needs assessment,Mohammed Ali
COM00129,C0006,2022-01-03,Meeting,General inquiry,Mohammed Ali
COM02953,C0159,2022-01-03,Email,Renewal discussion,Sara Hassan
COM08996,C0482,2022-01-05,Phone Call,Quotation request,Noura Salem
COM00974,C0052,2022-01-06,WhatsApp,General inquiry,Ahmed Abdullah
COM05084,C0266,2022-01-09,Email,Feedback discussion,Noura Salem
COM03782,C0198,2022-01-10,Meeting,Training needs assessment,Noura Salem
COM02921,C0159,2022-01-10,Email,Account review,Sara Hassan
COM05442,C0286,2022-01-10,Video Call,Account review,Fatima Ahmed
COM03936,C0206,2022-01-12,WhatsApp,Training needs assessment,Fatima Ahmed
COM01953,C0104,2022-01-12,Email,Renewal discussion,Noura Salem
COM02605,C0140,2022-01-14,Phone Call,Follow-up on booking,Mohammed Ali
COM09332,C0498,2022-01-14,Meeting,New course announcement,Noura Salem
COM06057,C0321,2022-01-15,Email,Satisfaction survey,Ahmed Abdullah
COM01957,C0104,2022-01-16,Meeting,Training needs assessment,Noura Salem
COM05070,C0266,2022-01-16,Meeting,New course announcement,Noura Salem
COM07300,C0383,2022-01-16,WhatsApp,Feedback discussion,Fatima Ahmed
COM08204,C0435,2022-01-16,WhatsApp,General inquiry,Ahmed Abdullah
COM02690,C0146,2022-01-17,Meeting,Complaint resolution,Fatima Ahmed
COM06224,C0328,2022-01-19,WhatsApp,Quotation request,Mohammed Ali
COM02786,C0152,2022-01-20,Email,Satisfaction survey,Mohammed Ali
COM03555,C0188,2022-01-20,Phone Call,Account review,Fatima Ahmed
COM03121,C0168,2022-01-20,Meeting,Feedback discussion,Fatima Ahmed
COM05072,C0266,2022-01-20,Meeting,Feedback discussion,Noura Salem
COM07297,C0383,2022-01-20,Email,Complaint resolution,Fatima Ahmed
COM08525,C0457,2022-01-20,Meeting,New course announcement,Fatima Ahmed
COM09350,C0498,2022-01-23,Video Call,Thank you message,Noura Salem
COM06142,C0324,2022-01-24,Video Call,Schedule confirmation,Noura Salem
COM08486,C0453,2022-01-27,WhatsApp,Schedule confirmation,Ahmed Abdullah
COM02566,C0138,2022-01-27,Meeting,Schedule confirmation,Ahmed Abdullah
COM02222,C0122,2022-01-27,Email,Thank you message,Noura Salem
COM03773,C0198,2022-01-28,Phone Call,Quotation request,Noura Salem
COM03279,C0174,2022-01-29,WhatsApp,Thank you message,Ahmed Abdullah
COM02881,C0157,2022-01-29,Meeting,New course announcement,Noura Salem
COM05956,C0312,2022-01-29,Meeting,Quotation request,Noura Salem
COM04966,C0258,2022-01-31,WhatsApp,General inquiry,Ahmed Abdullah
COM02589,C0138,2022-02-01,WhatsApp,Complaint resolution,Ahmed Abdullah
COM06159,C0325,2022-02-02,Video Call,Account review,Sara Hassan
COM09348,C0498,2022-02-02,Video Call,Feedback discussion,Noura Salem
COM02606,C0140,2022-02-02,Email,General inquiry,Mohammed Ali
COM01773,C0094,2022-02-03,Email,Follow-up on booking,Mohammed Ali
COM06478,C0344,2022-02-03,Meeting,Follow-up on booking,Noura Salem
COM08068,C0426,2022-02-03,Email,Thank you message,Fatima Ahmed
COM04920,C0255,2022-02-03,Email,Schedule confirmation,Ahmed Abdullah
COM08066,C0426,2022-02-04,Phone Call,Account review,Fatima Ahmed
COM05953,C0312,2022-02-05,WhatsApp,Training needs assessment,Noura Salem
COM01912,C0102,2022-02-06,Video Call,Schedule confirmation,Noura Salem
COM03134,C0168,2022-02-06,WhatsApp,Renewal discussion,Fatima Ahmed
COM05469,C0286,2022-02-07,Phone Call,Schedule confirmation,Fatima Ahmed
COM01418,C0075,2022-02-08,Video Call,Thank you message,Fatima Ahmed
COM01738,C0092,2022-02-09,Email,Complaint resolution,Noura Salem
COM01770,C0094,2022-02-10,Email,Schedule confirmation,Mohammed Ali
COM02776,C0152,2022-02-11,Meeting,Satisfaction survey,Mohammed Ali
COM09257,C0493,2022-02-11,Email,Feedback discussion,Sara Hassan
COM08894,C0475,2022-02-14,Phone Call,Course recommendation,Noura Salem
COM03083,C0166,2022-02-15,Phone Call,Quotation request,Ahmed Abdullah
COM04934,C0255,2022-02-15,Video Call,Quotation request,Ahmed Abdullah
COM06130,C0324,2022-02-16,Meeting,Follow-up on booking,Noura Salem
COM00317,C0014,2022-02-18,Video Call,Satisfaction survey,Sara Hassan
COM00189,C0008,2022-02-18,Meeting,Quotation request,Fatima Ahmed
COM07293,C0383,2022-02-18,Video Call,Schedule confirmation,Fatima Ahmed
COM00118,C0006,2022-02-18,WhatsApp,Follow-up on booking,Mohammed Ali
COM07422,C0391,2022-02-19,Phone Call,Renewal discussion,Noura Salem
COM09357,C0498,2022-02-19,Video Call,Quotation request,Noura Salem
COM06493,C0344,2022-02-20,Email,Invoice query,Noura Salem
COM01931,C0102,2022-02-21,Video Call,Quotation request,Noura Salem
COM02887,C0157,2022-02-23,Phone Call,Training needs assessment,Noura Salem
COM03254,C0174,2022-02-24,Meeting,Schedule confirmation,Ahmed Abdullah
COM03129,C0168,2022-02-24,Meeting,Complaint resolution,Fatima Ahmed
COM07506,C0396,2022-02-24,Meeting,Complaint resolution,Fatima Ahmed
COM02779,C0152,2022-02-25,Email,Quotation request,Mohammed Ali
COM06838,C0361,2022-02-27,WhatsApp,Quotation request,Fatima Ahmed
COM09007,C0482,2022-02-27,Phone Call,Account review,Noura Salem
COM03635,C0191,2022-02-28,Phone Call,Schedule confirmation,Mohammed Ali
COM05673,C0296,2022-02-28,Meeting,General inquiry,Noura Salem
COM07971,C0420,2022-03-01,Video Call,Renewal discussion,Ahmed Abdullah
COM04175,C0219,2022-03-03,Meeting,Thank you message,Ahmed Abdullah
COM04222,C0222,2022-03-03,Email,Thank you message,Mohammed Ali
COM04504,C0232,2022-03-05,Video Call,Course recommendation,Fatima Ahmed
COM02608,C0140,2022-03-05,WhatsApp,Feedback discussion,Mohammed Ali
COM03814,C0201,2022-03-06,Video Call,General inquiry,Ahmed Abdullah
COM04787,C0251,2022-03-06,Video Call,Account review,Sara Hassan
COM02107,C0114,2022-03-06,Video Call,Feedback discussion,Fatima Ahmed
COM00970,C0052,2022-03-07,Phone Call,Course recommendation,Ahmed Abdullah
COM08227,C0437,2022-03-08,Email,Schedule confirmation,Noura Salem
COM03780,C0198,2022-03-08,Video Call,Quotation request,Noura Salem
COM03660,C0191,2022-03-08,Video Call,Complaint resolution,Mohammed Ali
COM01726,C0092,2022-03-08,Video Call,Feedback discussion,Noura Salem
COM06600,C0349,2022-03-08,Phone Call,Complaint resolution,Fatima Ahmed
COM08485,C0453,2022-03-09,Video Call,Training needs assessment,Ahmed Abdullah
COM02894,C0157,2022-03-09,Phone Call,Thank you message,Noura Salem
COM08983,C0481,2022-03-09,Meeting,New course announcement,Sara Hassan
COM00132,C0006,2022-03-10,Video Call,Course recommendation,Mohammed Ali
COM02770,C0151,2022-03-13,Video Call,General inquiry,Ahmed Abdullah
COM02105,C0114,2022-03-13,Video Call,Renewal discussion,Fatima Ahmed
COM03087,C0166,2022-03-13,Phone Call,Course recommendation,Ahmed Abdullah
COM03610,C0191,2022-03-13,WhatsApp,Thank you message,Mohammed Ali
COM07630,C0405,2022-03-14,Phone Call,Training needs assessment,Noura Salem
COM05255,C0276,2022-03-15,Video Call,Renewal discussion,Fatima Ahmed
COM02591,C0138,2022-03-15,Phone Call,New course announcement,Ahmed Abdullah
COM03774,C0198,2022-03-16,Email,Quotation request,Noura Salem
COM06486,C0344,2022-03-16,WhatsApp,Quotation request,Noura Salem
COM03673,C0192,2022-03-17,Meeting,Follow-up on booking,Sara Hassan
COM03672,C0192,2022-03-18,Meeting,General inquiry,Sara Hassan
COM06704,C0354,2022-03-18,Meeting,New course announcement,Sara Hassan
COM02932,C0159,2022-03-21,WhatsApp,Thank you message,Sara Hassan
COM00455,C0021,2022-03-21,Video Call,General inquiry,Mohammed Ali
COM01921,C0102,2022-03-24,Phone Call,Training needs assessment,Noura Salem
COM03137,C0168,2022-03-25,WhatsApp,Training needs assessment,Fatima Ahmed
COM03779,C0198,2022-03-25,Phone Call,Feedback discussion,Noura Salem
COM00445,C0021,2022-03-26,Email,Renewal discussion,Mohammed Ali
COM07946,C0419,2022-03-26,WhatsApp,Training needs assessment,Mohammed Ali
COM08988,C0481,2022-03-27,Video Call,Quotation request,Sara Hassan
COM07963,C0420,2022-03-27,WhatsApp,Renewal discussion,Ahmed Abdullah
COM05990,C0316,2022-03-29,Video Call,Course recommendation,Fatima Ahmed
COM01211,C0063,2022-03-31,Meeting,Quotation request,Fatima Ahmed
COM04906,C0254,2022-03-31,Phone Call,Training needs assessment,Fatima Ahmed
COM08470,C0452,2022-04-01,WhatsApp,General inquiry,Ahmed Abdullah
COM00291,C0014,2022-04-02,Email,Satisfaction survey,Sara Hassan
COM02911,C0158,2022-04-02,Video Call,Quotation request,Sara Hassan
COM06005,C0318,2022-04-03,WhatsApp,Renewal discussion,Noura Salem
COM03080,C0166,2022-04-03,Video Call,Satisfaction survey,Ahmed Abdullah
COM03105,C0167,2022-04-03,Video Call,Course recommendation,Sara Hassan
COM08196,C0435,2022-04-04,Email,Thank you message,Ahmed Abdullah
COM07814,C0412,2022-04-04,Meeting,New course announcement,Noura Salem
COM01733,C0092,2022-04-04,Email,General inquiry,Noura Salem
COM02610,C0140,2022-04-05,Video Call,Follow-up on booking,Mohammed Ali
COM08343,C0443,2022-04-05,Video Call,New course announcement,Sara Hassan
COM04243,C0222,2022-04-06,WhatsApp,General inquiry,Mohammed Ali
COM06850,C0361,2022-04-06,Video Call,Schedule confirmation,Fatima Ahmed
COM03540,C0188,2022-04-07,Phone Call,Feedback discussion,Fatima Ahmed
COM01772,C0094,2022-04-07,Video Call,Invoice query,Mohammed Ali
COM02599,C0139,2022-04-09,Email,Satisfaction survey,Sara Hassan
COM02111,C0114,2022-04-10,Video Call,Account review,Fatima Ahmed
COM06477,C0344,2022-04-10,Meeting,Invoice query,Noura Salem
COM05447,C0286,2022-04-12,WhatsApp,General inquiry,Fatima Ahmed
COM02899,C0158,2022-04-12,Video Call,New course announcement,Sara Hassan
COM08971,C0481,2022-04-12,WhatsApp,Quotation request,Sara Hassan
COM02687,C0146,2022-04-13,Email,Feedback discussion,Fatima Ahmed
COM04064,C0215,2022-04-14,WhatsApp,Renewal discussion,Mohammed Ali
COM05470,C0286,2022-04-15,Video Call,Feedback discussion,Fatima Ahmed
COM01227,C0063,2022-04-15,WhatsApp,New course announcement,Fatima Ahmed
COM05658,C0296,2022-04-16,Email,General inquiry,Noura Salem
COM01919,C0102,2022-04-16,Meeting,Renewal discussion,Noura Salem
COM04886,C0254,2022-04-16,Meeting,Training needs assessment,Fatima Ahmed
COM08989,C0481,2022-04-16,Meeting,New course announcement,Sara Hassan
COM05719,C0298,2022-04-17,WhatsApp,Renewal discussion,Fatima Ahmed
COM01214,C0063,2022-04-18,Phone Call,Training needs assessment,Fatima Ahmed
COM04247,C0222,2022-04-18,Email,Invoice query,Mohammed Ali
COM06497,C0344,2022-04-18,WhatsApp,Renewal discussion,Noura Salem
COM02699,C0146,2022-04-19,Email,Renewal discussion,Fatima Ahmed
COM06064,C0321,2022-04-20,Email,Complaint resolution,Ahmed Abdullah
COM08898,C0475,2022-04-20,Meeting,Feedback discussion,Noura Salem
COM07454,C0392,2022-04-20,Phone Call,Satisfaction survey,Mohammed Ali
COM01714,C0092,2022-04-21,Video Call,Quotation request,Noura Salem
COM04955,C0257,2022-04-21,Meeting,Feedback discussion,Ahmed Abdullah
COM01657,C0088,2022-04-21,Phone Call,Quotation request,Sara Hassan
COM07011,C0370,2022-04-22,Meeting,Follow-up on booking,Fatima Ahmed
COM08231,C0437,2022-04-22,Video Call,Feedback discussion,Noura Salem
COM00286,C0014,2022-04-23,Meeting,Renewal discussion,Sara Hassan
COM08489,C0453,2022-04-23,WhatsApp,Invoice query,Ahmed Abdullah
COM06291,C0333,2022-04-23,Meeting,Complaint resolution,Sara Hassan
COM06295,C0333,2022-04-24,Video Call,Invoice query,Sara Hassan
COM02879,C0157,2022-04-25,Video Call,Complaint resolution,Noura Salem
COM06833,C0361,2022-04-27,WhatsApp,Thank you message,Fatima Ahmed
COM03038,C0165,2022-04-28,Meeting,Renewal discussion,Sara Hassan
COM09244,C0493,2022-04-28,WhatsApp,Course recommendation,Sara Hassan
COM07055,C0372,2022-04-28,Email,Schedule confirmation,Sara Hassan
COM07504,C0396,2022-04-28,WhatsApp,Quotation request,Fatima Ahmed
COM08202,C0435,2022-04-29,Meeting,Satisfaction survey,Ahmed Abdullah
COM02578,C0138,2022-05-01,Email,Account review,Ahmed Abdullah
COM07442,C0391,2022-05-02,WhatsApp,Follow-up on booking,Noura Salem
COM08203,C0435,2022-05-03,Email,Schedule confirmation,Ahmed Abdullah
COM00187,C0008,2022-05-06,Email,Training needs assessment,Fatima Ahmed
COM00446,C0021,2022-05-06,Phone Call,Quotation request,Mohammed Ali
COM03806,C0201,2022-05-06,Phone Call,General inquiry,Ahmed Abdullah
COM04790,C0251,2022-05-07,Meeting,Follow-up on booking,Sara Hassan
COM09340,C0498,2022-05-07,WhatsApp,General inquiry,Noura Salem
COM06852,C0361,2022-05-07,Phone Call,Course recommendation,Fatima Ahmed
COM08990,C0481,2022-05-08,WhatsApp,Account review,Sara Hassan
COM06920,C0365,2022-05-08,Meeting,Account review,Mohammed Ali
