client_id,client_name,industry_sector,company_size,first_booking_date,account_manager,region
C0078,Bank Solutions,Retail,Large (201-500),2023-02-22,Fatima Ahmed,Abu Dhabi
C0079,Real Estate Industries,Banking & Finance,Medium (51-200),2024-08-31,Ahmed Abdullah,Ras Al Khaimah
C0080,United Construction Corporation,Construction,Large (201-500),2022-04-18,Ahmed Abdullah,Sharjah
C0081,Gulf Solutions,Manufacturing,Enterprise (500+),2024-02-24,Noura Salem,Abu Dhabi
C0082,Real Estate Solutions,Logistics,Small (1-50),2023-05-26,Noura Salem,Ajman
C0083,Real Estate Services,Construction,Small (1-50),2023-08-19,Mohammed Ali,Sharjah
C0084,Abu Dhabi Construction Services,Telecommunications,Medium (51-200),2022-11-14,Sara Hassan,Ras Al Khaimah
C0085,Insurance Holdings,Logistics,Medium (51-200),2025-11-14,Ahmed Abdullah,Fujairah
C0086,Arabian Services,Real Estate,Medium (51-200),2024-04-24,Ahmed Abdullah,Dubai
C0087,Emirates Industries,Aviation,Large (201-500),2022-08-03,Fatima Ahmed,Sharjah
C0088,Global Services,Real Estate,Enterprise (500+),2021-11-17,Sara Hassan,Sharjah
C0089,Manufacturing Company,Technology,Medium (51-200),2022-11-08,Ahmed Abdullah,Abu Dhabi
C0090,United Manufacturing Solutions,Real Estate,Large (201-500),2024-03-01,Fatima Ahmed,Ajman
C0091,International Insurance Group,Construction,Large (201-500),2025-05-22,Sara Hassan,Ras Al Khaimah
C0092,Investment Enterprises,Telecommunications,Enterprise (500+),2022-01-24,Noura Salem,Abu Dhabi
C0093,Investment Holdings,Telecommunications,Small (1-50),2022-06-27,Ahmed Abdullah,Dubai
C0094,Gulf Group,Technology,Medium (51-200),2022-01-21,Mohammed Ali,Ras Al Khaimah
C0095,Abu Dhabi Corporation,Tourism & Hospitality,Medium (51-200),2023-08-22,Ahmed Abdullah,Ras Al Khaimah
C0096,United Industries,Education,Medium (51-200),2025-02-22,Fatima Ahmed,Ajman
C0097,Global Construction Solutions,Technology,Enterprise (500+),2024-01-05,Fatima Ahmed,Dubai
C0098,National Industries,Banking & Finance,Small (1-50),2023-10-23,Noura Salem,Fujairah
C0099,Trading Company,Education,Medium (51-200),2023-03-01,Fatima Ahmed,Fujairah
C0100,Al Construction Services,Education,Large (201-500),2022-04-29,Ahmed Abdullah,Dubai
C0101,Abu Dhabi Real Estate International,Education,Enterprise (500+),2024-10-27,Sara Hassan,Fujairah
C0102,Aviation Company,Telecommunications,Enterprise (500+),2021-01-25,Noura Salem,Sharjah
C0103,Insurance Enterprises,Telecommunications,Large (201-500),2025-06-11,Noura Salem,Ajman
C0104,Insurance Group,Real Estate,Large (201-500),2021-05-03,Noura Salem,Dubai
C0105,Emirates Technology Services,Banking & Finance,Large (201-500),2022-04-26,Ahmed Abdullah,Abu Dhabi
C0106,Arabian Services,Tourism & Hospitality,Medium (51-200),2025-05-27,Ahmed Abdullah,Fujairah
C0107,United Education Solutions,Construction,Enterprise (500+),2025-05-24,Mohammed Ali,Sharjah
C0108,Middle East Enterprises,Healthcare,Small (1-50),2025-05-23,Ahmed Abdullah,Abu Dhabi
C0109,Dubai Technology LLC,Government,Medium (51-200),2022-03-26,Fatima Ahmed,Ras Al Khaimah
C0110,Global Trading Company,Education,Medium (51-200),2024-10-14,Mohammed Ali,Ras Al Khaimah
C0111,Development Company,Retail,Small (1-50),2024-07-17,Mohammed Ali,Sharjah
C0112,International Holdings,Construction,Large (201-500),2025-08-27,Noura Salem,Ras Al Khaimah
C0113,Global Group,Construction,Small (1-50),2025-05-03,Fatima Ahmed,Ajman
C0114,United Services,Tourism & Hospitality,Medium (51-200),2021-03-13,Fatima Ahmed,Dubai
C0115,Investment LLC,Education,Enterprise (500+),2024-05-28,Noura Salem,Ras Al Khaimah
C0116,Middle East International,Construction,Medium (51-200),2023-07-15,Ahmed Abdullah,Sharjah
C0117,Investment Enterprises,Education,Large (201-500),2021-04-23,Mohammed Ali,Fujairah
C0118,Emirates Petroleum Holdings,Real Estate,Small (1-50),2023-04-16,Noura Salem,Ras Al Khaimah
C0119,Logistics Solutions,Banking & Finance,Large (201-500),2022-10-19,Noura Salem,Sharjah
C0120,Emirates Education International,Logistics,Small (1-50),2023-12-23,Sara Hassan,Ras Al Khaimah
C0121,Real Estate Solutions,Aviation,Small (1-50),2023-11-21,Noura Salem,Fujairah
C0122,National Bank Corporation,Government,Medium (51-200),2021-04-19,Noura Salem,Fujairah
C0123,Emirates International,Construction,Large (201-500),2023-09-14,Mohammed Ali,Sharjah
C0124,Gulf Real Estate LLC,Aviation,Small (1-50),2024-03-14,Fatima Ahmed,Sharjah
C0125,Middle East Investment Services,Aviation,Small (1-50),2023-06-19,Sara Hassan,Ajman
C0126,National Technology LLC,Healthcare,Enterprise (500+),2025-04-29,Noura Salem,Abu Dhabi
C0127,Dubai Construction Company,Banking & Finance,Enterprise (500+),2025-11-27,Ahmed Abdullah,Dubai
C0128,Arabian Healthcare Company,Technology,Small (1-50),2025-03-23,Ahmed Abdullah,Abu Dhabi
C0129,Education Solutions,Manufacturing,Enterprise (500+),2023-05-16,Sara Hassan,Abu Dhabi
C0130,Al Development Corporation,Technology,Small (1-50),2023-09-05,Mohammed Ali,Ajman
C0131,Arabian Healthcare Holdings,Retail,Medium (51-200),2022-08-24,Fatima Ahmed,Ras Al Khaimah
C0132,Emirates Healthcare International,Oil & Gas,Medium (51-200),2022-05-26,Sara Hassan,Dubai
C0133,Insurance LLC,Construction,Large (201-500),2024-12-22,Sara Hassan,Dubai
C0134,Real Estate Industries,Banking & Finance,Large (201-500),2023-06-26,Noura Salem,Abu Dhabi
C0135,United Insurance Group,Manufacturing,Small (1-50),2024-03-17,Noura Salem,Ras Al Khaimah
C0136,Insurance LLC,Healthcare,Large (201-500),2023-02-08,Noura Salem,Ajman
C0137,Manufacturing Holdings,Manufacturing,Medium (51-200),2023-02-20,Fatima Ahmed,Dubai
C0138,International LLC,Education,Enterprise (500+),2021-12-24,Ahmed Abdullah,Sharjah
C0139,Petroleum International,Technology,Large (201-500),2022-02-21,Sara Hassan,Fujairah
C0140,Gulf Holdings,Education,Enterprise (500+),2021-03-04,Mohammed Ali,Ras Al Khaimah
C0141,Logistics Corporation,Telecommunications,Small (1-50),2021-12-22,Ahmed Abdullah,Ras Al Khaimah
C0142,Al Development Industries,Healthcare,Medium (51-200),2023-12-02,Mohammed Ali,Abu Dhabi
C0143,Technology Enterprises,Government,Enterprise (500+),2024-04-16,Mohammed Ali,Dubai
C0144,Investment Enterprises,Telecommunications,Medium (51-200),2024-12-07,Ahmed Abdullah,Ras Al Khaimah
C0145,United Trading International,Retail,Enterprise (500+),2024-05-08,Ahmed Abdullah,Sharjah
C0146,Logistics Company,Government,Large (201-500),2021-08-02,Fatima Ahmed,Fujairah
C0147,Gulf Healthcare Holdings,Education,Enterprise (500+),2023-04-03,Noura Salem,Dubai
C0148,Arabian Petroleum Company,Technology,Large (201-500),2021-04-16,Mohammed Ali,Ajman
C0149,Gulf Trading Group,Government,Small (1-50),2025-06-28,Sara Hassan,Ajman
C0150,Abu Dhabi Real Estate Services,Education,Medium (51-200),2022-01-17,Mohammed Ali,Ras Al Khaimah
C0151,Global Healthcare Solutions,Banking & Finance,Medium (51-200),2021-11-14,Ahmed Abdullah,Fujairah
C0152,Global Insurance Holdings,Manufacturing,Medium (51-200),2021-07-01,Mohammed Ali,Sharjah
C0153,Investment Corporation,Manufacturing,Small (1-50),2023-07-17,Noura Salem,Sharjah
C0154,International International,Banking & Finance,Enterprise (500+),2025-07-27,Sara Hassan,Sharjah
C0155,Manufacturing Holdings,Telecommunications,Large (201-500),2021-10-04,Mohammed Ali,Abu Dhabi
C0156,Manufacturing Services,Government,Medium (51-200),2023-12-22,Fatima Ahmed,Fujairah
C0157,United Bank Industries,Retail,Large (201-500),2021-08-06,Noura Salem,Ajman
C0158,International Insurance Industries,Logistics,Large (201-500),2021-05-18,Sara Hassan,Abu Dhabi
C0159,United Solutions,Telecommunications,Enterprise (500+),2021-06-19,Sara Hassan,Ras Al Khaimah
C0160,Education Corporation,Education,Large (201-500),2024-06-14,Fatima Ahmed,Abu Dhabi
C0161,Middle East Construction Industries,Telecommunications,Enterprise (500+),2024-02-10,Sara Hassan,Ajman
C0162,National Group,Real Estate,Medium (51-200),2025-09-17,Fatima Ahmed,Dubai
C0163,Petroleum Company,Retail,Large (201-500),2021-03-10,Ahmed Abdullah,Ras Al Khaimah
C0164,Insurance Holdings,Government,Large (201-500),2025-10-07,Ahmed Abdullah,Sharjah
C0165,Al Corporation,Real Estate,Small (1-50),2022-04-22,Sara Hassan,Sharjah
C0166,United Trading LLC,Logistics,Small (1-50),2022-01-01,Ahmed Abdullah,Dubai
C0167,Manufacturing Holdings,Real Estate,Large (201-500),2021-12-13,Sara Hassan,Dubai
C0168,Middle East Aviation Enterprises,Healthcare,Enterprise (500+),2021-12-16,Fatima Ahmed,Sharjah
C0169,Global Development Services,Education,Enterprise (500+),2022-11-04,Ahmed Abdullah,Ras Al Khaimah
C0170,Emirates Corporation,Construction,Large (201-500),2023-08-24,Mohammed Ali,Ras Al Khaimah
C0171,Global Aviation Corporation,Real Estate,Medium (51-200),2022-05-12,Sara Hassan,Dubai
C0172,Gulf International,Healthcare,Large (201-500),2025-01-15,Mohammed Ali,Fujairah
C0173,Global Healthcare Holdings,Government,Large (201-500),2024-04-01,Noura Salem,Abu Dhabi
C0174,Construction Company,Technology,Small (1-50),2021-04-27,Ahmed Abdullah,Fujairah
C0175,United Company,Construction,Small (1-50),2022-11-21,Fatima Ahmed,Dubai
C0176,Dubai Enterprises,Logistics,Large (201-500),2023-06-26,Sara Hassan,Ajman
C0177,Gulf Healthcare International,Education,Enterprise (500+),2025-03-20,Mohammed Ali,Dubai
C0178,Global Solutions,Tourism & Hospitality,Large (201-500),2025-05-28,Mohammed Ali,Dubai
C0179,National Services,Real Estate,Enterprise (500+),2023-02-26,Mohammed Ali,Dubai
C0180,National Services,Real Estate,Small (1-50),2022-09-05,Fatima Ahmed,Ajman
C0181,National Manufacturing Enterprises,Tourism & Hospitality,Medium (51-200),2025-03-13,Sara Hassan,Ras Al Khaimah
C0182,Construction LLC,Tourism & Hospitality,Small (1-50),2024-04-30,Mohammed Ali,Abu Dhabi
C0183,Gulf Real Estate Enterprises,Tourism & Hospitality,Enterprise (500+),2023-09-28,Noura Salem,Abu Dhabi
C0184,Insurance Corporation,Real Estate,Medium (51-200),2025-09-11,Sara Hassan,Ras Al Khaimah
C0185,Development International,Real Estate,Enterprise (500+),2024-02-29,Noura Salem,Sharjah
C0186,Middle East Holdings,Aviation,Small (1-50),2023-04-15,Noura Salem,Ajman
C0187,Manufacturing Group,Construction,Medium (51-200),2024-06-17,Noura Salem,Fujairah
C0188,Bank LLC,Oil & Gas,Medium (51-200),2021-11-27,Fatima Ahmed,Ajman
C0189,Dubai Solutions,Logistics,Small (1-50),2024-03-10,Mohammed Ali,Ras Al Khaimah
C0190,International Solutions,Real Estate,Large (201-500),2024-10-14,Noura Salem,Sharjah
C0191,Global Services,Real Estate,Large (201-500),2022-02-27,Mohammed Ali,Sharjah
C0192,Insurance Enterprises,Aviation,Large (201-500),2021-08-16,Sara Hassan,Abu Dhabi
C0193,Arabian Enterprises,Banking & Finance,Large (201-500),2022-09-25,Fatima Ahmed,Sharjah
C0194,Dubai Company,Real Estate,Large (201-500),2023-06-21,Mohammed Ali,Abu Dhabi
C0195,Global Trading Company,Oil & Gas,Enterprise (500+),2022-07-01,Sara Hassan,Fujairah
C0196,Aviation Solutions,Construction,Enterprise (500+),2023-04-20,Mohammed Ali,Sharjah
C0197,Trading International,Telecommunications,Small (1-50),2024-02-24,Mohammed Ali,Ajman
C0198,Abu Dhabi Bank Solutions,Banking & Finance,Large (201-500),2021-04-02,Noura Salem,Ras Al Khaimah
C0199,Gulf Construction Services,Logistics,Enterprise (500+),2025-05-07,Sara Hassan,Dubai
C0200,Emirates Development Corporation,Telecommunications,Large (201-500),2021-05-31,Sara Hassan,Ras Al Khaimah
C0201,Logistics Solutions,Retail,Small (1-50),2022-03-02,Ahmed Abdullah,Fujairah
C0202,Gulf Company,Healthcare,Enterprise (500+),2025-05-31,Sara Hassan,Sharjah
C0203,Technology Enterprises,Healthcare,Small (1-50),2024-04-03,Fatima Ahmed,Ajman
C0204,National Holdings,Tourism & Hospitality,Medium (51-200),2024-03-24,Mohammed Ali,Dubai
C0205,Gulf Solutions,Aviation,Medium (51-200),2023-04-08,Mohammed Ali,Fujairah
C0206,Global Logistics Holdings,Tourism & Hospitality,Small (1-50),2021-09-19,Fatima Ahmed,Ras Al Khaimah
C0207,Abu Dhabi Corporation,Oil & Gas,Medium (51-200),2023-02-11,Noura Salem,Ajman
C0208,United Corporation,Tourism & Hospitality,Small (1-50),2025-06-09,Noura Salem,Ajman
C0209,Logistics Group,Healthcare,Small (1-50),2022-03-06,Fatima Ahmed,Ajman
C0210,Emirates Services,Government,Medium (51-200),2024-01-07,Ahmed Abdullah,Sharjah
C0211,United Logistics Solutions,Manufacturing,Large (201-500),2023-10-21,Fatima Ahmed,Dubai
C0212,Dubai Group,Construction,Enterprise (500+),2022-12-08,Noura Salem,Ajman
C0213,Construction Company,Aviation,Small (1-50),2021-05-01,Fatima Ahmed,Fujairah
C0214,Petroleum Holdings,Banking & Finance,Enterprise (500+),2023-08-07,Noura Salem,Fujairah
C0215,Al Trading Group,Aviation,Small (1-50),2022-01-02,Mohammed Ali,Ras Al Khaimah
C0216,Dubai Logistics LLC,Education,Medium (51-200),2024-04-29,Noura Salem,Dubai
C0217,Manufacturing Corporation,Manufacturing,Enterprise (500+),2023-08-19,Noura Salem,Ajman
C0218,International Enterprises,Government,Large (201-500),2025-09-07,Ahmed Abdullah,Dubai
C0219,Dubai Industries,Banking & Finance,Enterprise (500+),2021-09-19,Ahmed Abdullah,Ras Al Khaimah
C0220,National Company,Logistics,Large (201-500),2022-12-23,Fatima Ahmed,Ras Al Khaimah
C0221,Dubai Bank Industries,Healthcare,Medium (51-200),2021-11-20,Ahmed Abdullah,Dubai
C0222,Manufacturing Holdings,Aviation,Enterprise (500+),2021-01-27,Mohammed Ali,Fujairah
C0223,International Enterprises,Construction,Large (201-500),2022-07-24,Sara Hassan,Sharjah
C0224,International Insurance Services,Retail,Large (201-500),2023-12-07,Ahmed Abdullah,Abu Dhabi
C0225,Healthcare LLC,Telecommunications,Enterprise (500+),2022-10-17,Sara Hassan,Dubai
C0226,Insurance International,Manufacturing,Large (201-500),2024-11-06,Sara Hassan,Ajman
C0227,Middle East Manufacturing Services,Government,Enterprise (500+),2021-11-22,Mohammed Ali,Ras Al Khaimah
C0228,Emirates Group,Government,Medium (51-200),2022-05-08,Fatima Ahmed,Fujairah
C0229,Bank LLC,Manufacturing,Enterprise (500+),2025-02-06,Ahmed Abdullah,Abu Dhabi
C0230,Healthcare Industries,Education,Small (1-50),2025-11-29,Noura Salem,Fujairah
C0231,Arabian Real Estate Corporation,Healthcare,Large (201-500),2022-03-03,Sara Hassan,Sharjah
C0232,Education Company,Healthcare,Large (201-500),2021-06-28,Fatima Ahmed,Fujairah
C0233,Investment Solutions,Construction,Small (1-50),2021-02-19,Fatima Ahmed,Fujairah
C0234,Education Holdings,Banking & Finance,Medium (51-200),2024-12-27,Mohammed Ali,Fujairah
C0235,Healthcare LLC,Banking & Finance,Medium (51-200),2022-10-09,Sara Hassan,Abu Dhabi
C0236,Global Aviation Solutions,Tourism & Hospitality,Enterprise (500+),2024-10-14,Noura Salem,Sharjah
C0237,International Enterprises,Healthcare,Small (1-50),2023-10-18,Sara Hassan,Ras Al Khaimah
C0238,Gulf Group,Construction,Medium (51-200),2021-08-21,Sara Hassan,Ras Al Khaimah
C0239,Middle East Solutions,Aviation,Medium (51-200),2023-11-05,Fatima Ahmed,Abu Dhabi
C0240,Abu Dhabi Investment Corporation,Banking & Finance,Large (201-500),2024-06-12,Ahmed Abdullah,Sharjah
C0241,Investment Services,Real Estate,Enterprise (500+),2021-09-05,Fatima Ahmed,Abu Dhabi
C0242,Global LLC,Banking & Finance,Large (201-500),2025-06-12,Ahmed Abdullah,Ajman
C0243,Healthcare Corporation,Technology,Medium (51-200),2021-07-31,Mohammed Ali,Sharjah
C0244,Emirates Corporation,Education,Enterprise (500+),2024-04-05,Fatima Ahmed,Sharjah
C0245,Dubai Manufacturing Services,Government,Large (201-500),2024-07-15,Fatima Ahmed,Ajman
C0246,Global Investment Enterprises,Education,Large (201-500),2024-02-01,Noura Salem,Fujairah
C0247,Construction Services,Aviation,Medium (51-200),2024-10-27,Sara Hassan,Ajman
C0248,Arabian Development Holdings,Manufacturing,Small (1-50),2024-05-17,Ahmed Abdullah,Fujairah
C0249,United Real Estate Industries,Manufacturing,Large (201-500),2024-10-09,Mohammed Ali,Sharjah
C0250,Arabian Holdings,Tourism & Hospitality,Enterprise (500+),2022-04-04,Noura Salem,Ras Al Khaimah
C0251,Arabian Healthcare Group,Aviation,Medium (51-200),2021-01-26,Sara Hassan,Dubai
C0252,Middle East Solutions,Oil & Gas,Small (1-50),2022-04-27,Fatima Ahmed,Sharjah
C0253,International Manufacturing International,Construction,Large (201-500),2024-09-14,Ahmed Abdullah,Ajman
C0254,Middle East Education International,Education,Enterprise (500+),2021-08-14,Fatima Ahmed,Abu Dhabi
C0255,Real Estate Company,Construction,Large (201-500),2021-04-15,Ahmed Abdullah,Abu Dhabi
C0256,United Development Holdings,Logistics,Large (201-500),2023-06-29,Fatima Ahmed,Fujairah
C0257,International Corporation,Real Estate,Enterprise (500+),2021-06-18,Ahmed Abdullah,Dubai
C0258,Investment Group,Tourism & Hospitality,Medium (51-200),2021-06-23,Ahmed Abdullah,Ras Al Khaimah
C0259,Real Estate Holdings,Oil & Gas,Medium (51-200),2023-07-17,Sara Hassan,Sharjah
C0260,Healthcare Enterprises,Technology,Enterprise (500+),2024-11-04,Noura Salem,Abu Dhabi
C0261,Logistics Industries,Tourism & Hospitality,Small (1-50),2023-12-31,Mohammed Ali,Sharjah
C0262,Manufacturing Corporation,Technology,Enterprise (500+),2025-04-15,Noura Salem,Dubai
C0263,Manufacturing Corporation,Government,Enterprise (500+),2022-09-22,Sara Hassan,Dubai
C0264,Gulf Logistics Services,Construction,Medium (51-200),2024-11-24,Mohammed Ali,Ajman
C0265,Arabian Services,Government,Small (1-50),2022-10-19,Noura Salem,Abu Dhabi
C0266,Dubai Construction Group,Aviation,Enterprise (500+),2021-06-27,Noura Salem,Fujairah
C0267,Petroleum Industries,Logistics,Large (201-500),2021-08-13,Noura Salem,Abu Dhabi
C0268,Arabian Holdings,Logistics,Small (1-50),2021-09-08,Ahmed Abdullah,Sharjah
C0269,Real Estate LLC,Retail,Enterprise (500+),2023-12-30,Mohammed Ali,Ras Al Khaimah
C0270,Al LLC,Tourism & Hospitality,Medium (51-200),2025-03-02,Sara Hassan,Fujairah
C0271,National Education Industries,Education,Medium (51-200),2024-04-22,Mohammed Ali,Dubai
C0272,Insurance Corporation,Manufacturing,Large (201-500),2025-02-16,Ahmed Abdullah,Ajman
C0273,Manufacturing Industries,Retail,Enterprise (500+),2023-06-01,Ahmed Abdullah,Sharjah
C0274,Logistics Holdings,Technology,Medium (51-200),2022-09-08,Ahmed Abdullah,Dubai
C0275,Education Corporation,Logistics,Enterprise (500+),2023-03-05,Sara Hassan,Fujairah
C0276,Al Bank Holdings,Construction,Enterprise (500+),2021-09-03,Fatima Ahmed,Ajman
C0277,Abu Dhabi Industries,Oil & Gas,Large (201-500),2024-10-24,Mohammed Ali,Abu Dhabi
C0278,Middle East Construction Company,Healthcare,Enterprise (500+),2023-09-23,Fatima Ahmed,Dubai
C0279,Dubai Healthcare Services,Logistics,Enterprise (500+),2022-08-15,Mohammed Ali,Ajman
C0280,Emirates Holdings,Government,Enterprise (500+),2025-07-20,Mohammed Ali,Fujairah
C0281,Global Group,Retail,Medium (51-200),2022-02-25,Mohammed Ali,Ajman
C0282,Aviation Holdings,Telecommunications,Enterprise (500+),2022-06-30,Sara Hassan,Ajman
C0283,Trading International,Tourism & Hospitality,Large (201-500),2024-03-08,Fatima Ahmed,Fujairah
C0284,Global International,Manufacturing,Small (1-50),2021-01-14,Mohammed Ali,Ajman
