feedback_id,client_id,booking_id,feedback_date,overall_rating,nps_score,trainer_rating,comments
F00120,C0019,B00161,2024-02-09,4.9,9,5.0,"Good pace, well-structured content"
F00121,C0020,B00162,2024-11-21,3.8,7,3.8,
F00122,C0020,B00163,2025-01-29,4.0,7,4.2,
F00123,C0020,B00164,2025-04-01,3.6,7,3.9,
F00124,C0020,B00165,2025-05-18,4.0,8,3.9,Trainer was knowledgeable
F00125,C0020,B00166,2025-07-15,4.2,8,4.4,"Useful content, could use more examples"
F00126,C0020,B00167,2025-09-19,4.2,7,4.5,
F00127,C0020,B00168,2025-11-13,4.8,9,4.6,
F00128,C0021,B00169,2021-11-16,3.7,7,3.8,
F00129,C0021,B00172,2022-06-18,4.9,10,5.0,
F00130,C0021,B00173,2022-09-20,4.5,10,4.3,Very useful tools and frameworks provided
F00131,C0021,B00174,2022-11-27,4.6,10,4.7,"Good pace, well-structured content"
F00132,C0021,B00177,2023-07-18,3.8,7,4.0,"Decent workshop, learned some new things"
F00133,C0021,B00178,2023-10-15,4.0,8,3.9,"Good course overall, met expectations"
F00134,C0021,B00179,2024-01-08,4.4,8,4.4,
F00135,C0021,B00180,2024-03-21,4.8,10,4.5,
F00136,C0021,B00181,2024-06-15,4.0,8,4.4,Trainer was knowledgeable
F00137,C0021,B00182,2024-09-13,5.0,9,4.8,
F00138,C0021,B00183,2024-12-15,4.2,8,4.3,"Decent workshop, learned some new things"
F00139,C0022,B00184,2023-05-12,4.8,10,4.8,Very useful tools and frameworks provided
F00140,C0022,B00185,2023-06-20,4.2,8,4.0,"Decent workshop, learned some new things"
F00141,C0022,B00186,2023-07-25,5.0,9,4.7,Highly engaging and interactive session
F00142,C0022,B00187,2023-08-28,4.1,7,3.9,
F00143,C0022,B00188,2023-10-10,5.0,10,5.0,
F00144,C0022,B00189,2023-11-16,4.5,9,4.7,"Good pace, well-structured content"
F00145,C0022,B00190,2023-12-20,4.2,8,4.6,"Decent workshop, learned some new things"
F00146,C0022,B00191,2024-01-18,4.5,10,4.5,
F00147,C0022,B00193,2024-03-08,3.8,7,3.9,
F00148,C0022,B00194,2024-04-13,4.9,9,4.8,Trainer was knowledgeable and approachable
F00149,C0022,B00198,2024-08-24,5.0,9,5.0,"Good pace, well-structured content"
F00150,C0022,B00199,2024-10-05,4.8,9,5.0,"Exceeded expectations, highly recommend"
F00151,C0022,B00200,2024-11-21,3.5,8,3.4,
F00152,C0023,B00201,2025-01-13,4.1,8,4.5,"Decent workshop, learned some new things"
F00153,C0023,B00202,2025-02-02,4.9,9,4.6,"Good pace, well-structured content"
F00154,C0023,B00203,2025-03-15,4.1,7,4.6,"Decent workshop, learned some new things"
F00155,C0023,B00204,2025-05-01,4.6,10,4.6,Very useful tools and frameworks provided
F00156,C0023,B00205,2025-05-29,5.0,9,5.0,"Exceeded expectations, highly recommend"
F00157,C0023,B00206,2025-06-25,3.4,2,3.8,
F00158,C0023,B00207,2025-07-17,4.4,8,4.8,"Decent workshop, learned some new things"
F00159,C0023,B00209,2025-09-22,4.6,9,4.8,"Exceeded expectations, highly recommend"
F00160,C0024,B00210,2024-05-11,4.0,7,3.9,"Decent workshop, learned some new things"
F00161,C0024,B00211,2024-07-08,4.5,10,4.6,"Good pace, well-structured content"
F00162,C0024,B00213,2024-10-15,3.5,7,3.8,"Useful content, could use more examples"
F00163,C0024,B00214,2024-11-24,4.6,9,4.6,Very useful tools and frameworks provided
F00164,C0024,B00215,2024-12-29,4.0,8,4.4,Trainer was knowledgeable
F00165,C0024,B00216,2025-02-18,4.0,8,4.2,
F00166,C0024,B00217,2025-04-07,3.9,7,4.1,"Good course overall, met expectations"
F00167,C0025,B00218,2022-12-02,3.9,7,4.4,"Good course overall, met expectations"
F00168,C0025,B00219,2023-03-04,4.5,10,4.4,"Good pace, well-structured content"
F00169,C0025,B00221,2023-08-27,3.5,8,3.5,
F00170,C0025,B00222,2023-12-03,4.7,9,4.7,"Exceeded expectations, highly recommend"
F00171,C0025,B00224,2024-05-13,4.0,8,4.1,
F00172,C0025,B00225,2024-08-12,3.6,7,3.7,
F00173,C0025,B00226,2024-10-28,4.8,10,4.7,
F00174,C0025,B00227,2025-01-25,4.8,9,5.0,
F00175,C0025,B00228,2025-04-09,4.6,9,4.6,"Good pace, well-structured content"
F00176,C0025,B00229,2025-07-19,4.5,10,4.4,Great real-world examples and case studies
F00177,C0026,B00230,2025-07-07,4.7,9,4.7,
F00178,C0026,B00231,2025-09-14,4.3,8,4.9,"Useful content, could use more examples"
F00179,C0027,B00232,2023-08-13,4.0,7,3.7,"Decent workshop, learned some new things"
F00180,C0027,B00233,2023-09-06,3.8,8,3.9,
F00181,C0027,B00234,2023-09-28,4.6,9,4.2,
F00182,C0027,B00235,2023-10-31,4.5,10,4.5,"Excellent trainer, very practical content"
F00183,C0027,B00237,2024-01-17,4.6,10,4.6,Very useful tools and frameworks provided
F00184,C0027,B00240,2024-05-01,4.3,7,4.7,
F00185,C0027,B00241,2024-05-28,4.3,7,4.3,"Decent workshop, learned some new things"
F00186,C0027,B00242,2024-07-14,4.1,8,4.4,
F00187,C0027,B00243,2024-08-20,3.6,7,3.9,"Useful content, could use more examples"
F00188,C0027,B00245,2024-10-25,3.8,8,4.3,Trainer was knowledgeable
F00189,C0028,B00246,2023-10-01,4.2,8,4.3,
F00190,C0028,B00247,2023-11-26,4.6,9,4.4,
F00191,C0028,B00248,2024-02-05,4.0,8,4.3,
F00192,C0028,B00249,2024-03-22,4.0,8,4.4,
F00193,C0028,B00250,2024-05-22,3.9,7,4.0,"Decent workshop, learned some new things"
F00194,C0028,B00251,2024-07-26,4.5,9,4.2,Very useful tools and frameworks provided
F00195,C0028,B00254,2025-01-03,4.2,8,4.3,
F00196,C0029,B00255,2024-10-09,5.0,10,5.0,
F00197,C0029,B00257,2025-01-30,4.7,10,5.0,
F00198,C0029,B00258,2025-04-19,4.2,8,4.1,Trainer was knowledgeable
F00199,C0029,B00259,2025-07-05,4.2,8,4.4,Trainer was knowledgeable
F00200,C0030,B00260,2024-04-03,3.4,5,3.8,Trainer rushed through important topics
F00201,C0030,B00261,2024-05-26,4.2,8,4.6,"Decent workshop, learned some new things"
F00202,C0030,B00262,2024-07-08,4.9,9,5.0,
F00203,C0030,B00263,2024-09-07,3.9,8,3.8,
F00204,C0030,B00264,2024-11-06,3.9,8,4.0,
F00205,C0030,B00265,2025-01-08,4.4,7,3.9,
F00206,C0030,B00266,2025-02-18,4.0,7,4.3,"Good course overall, met expectations"
F00207,C0030,B00267,2025-04-13,4.9,9,4.6,"Excellent trainer, very practical content"
F00208,C0030,B00268,2025-06-17,4.3,8,4.3,
F00209,C0030,B00269,2025-08-26,4.0,8,3.8,Trainer was knowledgeable
F00210,C0030,B00270,2025-11-03,4.8,10,5.0,Great real-world examples and case studies
F00211,C0031,B00271,2022-11-06,4.5,10,4.6,"Good pace, well-structured content"
F00212,C0031,B00272,2023-01-10,4.6,10,4.6,Very useful tools and frameworks provided
F00213,C0031,B00273,2023-03-09,4.6,10,4.7,"Excellent trainer, very practical content"
F00214,C0031,B00274,2023-04-20,3.4,5,3.5,Trainer rushed through important topics
F00215,C0031,B00275,2023-06-15,4.2,7,4.1,"Useful content, could use more examples"
F00216,C0031,B00277,2023-10-03,3.7,8,4.2,
F00217,C0031,B00278,2023-11-25,4.6,9,4.3,
F00218,C0031,B00279,2024-01-23,4.1,8,4.3,
F00219,C0031,B00280,2024-04-06,3.6,7,3.9,"Useful content, could use more examples"
F00220,C0031,B00281,2024-05-17,4.9,9,4.6,"Excellent trainer, very practical content"
F00221,C0031,B00282,2024-07-14,4.2,7,4.6,
F00222,C0032,B00283,2024-07-21,3.7,8,4.3,"Useful content, could use more examples"
F00223,C0032,B00284,2024-08-19,4.7,9,5.0,Great real-world examples and case studies
F00224,C0032,B00285,2024-10-18,4.6,10,5.0,"Good pace, well-structured content"
F00225,C0032,B00286,2024-11-24,4.1,7,3.7,"Decent workshop, learned some new things"
F00226,C0032,B00287,2025-01-18,3.6,8,4.1,"Useful content, could use more examples"
F00227,C0032,B00288,2025-03-06,4.2,7,4.1,
F00228,C0032,B00289,2025-04-26,5.0,10,5.0,"Excellent trainer, very practical content"
F00229,C0032,B00290,2025-06-12,3.5,8,3.3,Trainer was knowledgeable
F00230,C0032,B00291,2025-07-21,4.6,10,4.3,
F00231,C0032,B00292,2025-09-07,4.3,7,4.4,Trainer was knowledgeable
F00232,C0032,B00294,2025-12-05,4.4,8,4.3,
F00233,C0033,B00296,2023-09-01,4.7,9,4.7,
F00234,C0033,B00297,2023-11-05,4.6,10,4.4,"Exceeded expectations, highly recommend"
F00235,C0033,B00298,2024-01-09,4.5,10,4.7,"Good pace, well-structured content"
F00236,C0033,B00299,2024-02-20,4.1,8,4.4,Trainer was knowledgeable
F00237,C0033,B00300,2024-04-22,4.5,10,5.0,
F00238,C0033,B00301,2024-06-16,4.4,7,4.7,
F00239,C0033,B00302,2024-08-26,4.0,7,4.0,Trainer was knowledgeable
F00240,C0033,B00303,2024-10-06,3.5,7,3.8,"Good course overall, met expectations"
F00241,C0033,B00304,2024-11-19,4.2,7,4.3,"Useful content, could use more examples"
F00242,C0033,B00305,2025-01-12,4.9,9,4.9,"Exceeded expectations, highly recommend"
F00243,C0033,B00306,2025-03-21,4.4,7,4.7,"Useful content, could use more examples"
F00244,C0033,B00307,2025-05-17,4.2,7,4.3,"Useful content, could use more examples"
F00245,C0033,B00308,2025-07-10,4.6,10,4.3,
F00246,C0033,B00309,2025-09-14,4.8,10,4.5,Great real-world examples and case studies
F00247,C0033,B00310,2025-10-30,4.7,10,4.7,"Exceeded expectations, highly recommend"
F00248,C0034,B00311,2022-11-12,4.1,8,4.1,
F00249,C0034,B00312,2022-12-06,5.0,10,5.0,
F00250,C0034,B00313,2023-01-09,3.6,7,3.7,
F00251,C0034,B00314,2023-02-18,3.5,8,3.5,"Decent workshop, learned some new things"
F00252,C0035,B00315,2021-08-01,4.5,10,4.6,"Exceeded expectations, highly recommend"
F00253,C0035,B00316,2021-11-05,4.3,8,3.9,
F00254,C0035,B00319,2022-08-19,4.5,9,4.6,
F00255,C0036,B00322,2024-06-06,3.8,8,4.3,
F00256,C0037,B00323,2024-11-04,4.7,9,4.2,
F00257,C0037,B00324,2024-12-19,4.7,10,5.0,"Exceeded expectations, highly recommend"
F00258,C0037,B00328,2025-07-23,3.6,8,3.9,
F00259,C0037,B00329,2025-09-17,3.9,8,4.4,"Useful content, could use more examples"
F00260,C0038,B00331,2023-12-31,3.7,7,3.9,"Decent workshop, learned some new things"
F00261,C0038,B00332,2024-02-19,4.5,10,4.7,
F00262,C0038,B00333,2024-04-07,4.1,8,4.4,Trainer was knowledgeable
F00263,C0038,B00334,2024-06-01,4.1,8,4.5,
F00264,C0038,B00335,2024-07-28,4.4,7,4.5,"Good course overall, met expectations"
F00265,C0038,B00336,2024-09-21,4.9,10,4.6,
F00266,C0038,B00337,2024-11-19,4.0,7,4.2,"Good course overall, met expectations"
F00267,C0038,B00338,2025-01-12,4.6,10,4.4,"Exceeded expectations, highly recommend"
F00268,C0038,B00341,2025-05-30,3.9,8,3.9,
F00269,C0038,B00342,2025-07-25,4.0,8,4.4,
F00270,C0038,B00343,2025-09-04,4.1,7,4.0,
F00271,C0038,B00344,2025-11-07,4.8,10,4.6,"Exceeded expectations, highly recommend"
F00272,C0039,B00345,2025-09-26,4.2,7,4.5,
F00273,C0039,B00346,2025-12-12,4.5,10,4.7,
F00274,C0040,B00347,2024-07-13,3.9,8,3.8,
F00275,C0040,B00349,2025-01-06,4.5,9,4.6,"Exceeded expectations, highly recommend"
F00276,C0040,B00350,2025-03-21,4.6,10,4.7,Trainer was knowledgeable and approachable
F00277,C0040,B00351,2025-06-23,3.9,7,4.2,"Useful content, could use more examples"
F00278,C0041,B00352,2025-07-26,4.4,8,4.7,"Good course overall, met expectations"
F00279,C0041,B00353,2025-08-25,3.9,7,4.0,"Decent workshop, learned some new things"
F00280,C0041,B00354,2025-10-07,4.9,10,5.0,
F00281,C0041,B00355,2025-11-05,5.0,10,4.9,
F00282,C0041,B00356,2025-12-12,4.1,7,4.4,"Good course overall, met expectations"
F00283,C0042,B00357,2022-01-21,3.8,7,3.8,
F00284,C0042,B00358,2022-03-17,4.3,8,4.8,
F00285,C0042,B00359,2022-05-14,4.3,7,4.3,"Useful content, could use more examples"
F00286,C0042,B00360,2022-07-31,4.0,8,4.2,"Useful content, could use more examples"
F00287,C0042,B00362,2022-11-21,4.5,9,4.4,"Exceeded expectations, highly recommend"
F00288,C0042,B00363,2023-01-09,5.0,10,5.0,"Exceeded expectations, highly recommend"
F00289,C0042,B00364,2023-03-23,4.8,10,4.5,
F00290,C0042,B00365,2023-06-07,4.9,9,4.5,
F00291,C0042,B00366,2023-08-03,4.0,8,4.4,"Useful content, could use more examples"
F00292,C0043,B00367,2024-04-11,4.5,10,4.3,Trainer was knowledgeable and approachable
F00293,C0043,B00368,2024-05-27,4.3,8,4.7,"Decent workshop, learned some new things"
F00294,C0043,B00369,2024-07-27,4.4,8,5.0,
F00295,C0043,B00370,2024-09-23,4.1,7,4.1,"Useful content, could use more examples"
F00296,C0043,B00372,2025-01-19,3.8,7,3.6,
F00297,C0043,B00373,2025-03-07,4.3,7,4.5,Trainer was knowledgeable
F00298,C0043,B00374,2025-04-15,4.1,7,4.0,
F00299,C0043,B00375,2025-06-21,5.0,9,5.0,"Good pace, well-structured content"
F00300,C0043,B00376,2025-08-04,3.5,7,4.0,
F00301,C0043,B00377,2025-09-18,4.9,9,4.7,Trainer was knowledgeable and approachable
F00302,C0043,B00378,2025-11-03,4.4,7,4.8,
F00303,C0044,B00379,2023-06-28,4.5,10,4.7,
F00304,C0044,B00380,2023-09-01,4.4,7,5.0,"Decent workshop, learned some new things"
F00305,C0044,B00381,2023-10-10,5.0,9,4.8,Very useful tools and frameworks provided
F00306,C0045,B00382,2022-03-08,4.6,9,4.6,Trainer was knowledgeable and approachable
F00307,C0045,B00383,2022-04-20,4.9,9,5.0,Highly engaging and interactive session
F00308,C0045,B00385,2022-08-04,4.5,9,4.5,Great real-world examples and case studies
F00309,C0045,B00386,2022-09-21,3.8,7,4.2,
F00310,C0045,B00388,2023-01-01,4.1,8,4.2,"Decent workshop, learned some new things"
F00311,C0045,B00389,2023-02-01,5.0,10,4.9,"Good pace, well-structured content"
F00312,C0045,B00390,2023-03-14,4.5,10,4.8,"Good pace, well-structured content"
F00313,C0045,B00392,2023-06-20,4.9,10,4.8,
F00314,C0046,B00397,2023-02-26,4.1,8,4.3,"Good course overall, met expectations"
F00315,C0047,B00398,2024-09-27,3.8,7,4.0,Trainer was knowledgeable
F00316,C0047,B00399,2024-10-30,4.7,9,4.5,"Good pace, well-structured content"
F00317,C0047,B00400,2024-11-19,4.2,7,4.5,"Good course overall, met expectations"
F00318,C0047,B00401,2024-12-29,5.0,9,5.0,"Good pace, well-structured content"
F00319,C0047,B00402,2025-01-20,4.5,10,5.0,Trainer was knowledgeable and approachable
F00320,C0047,B00404,2025-03-21,4.4,8,3.9,"Useful content, could use more examples"
F00321,C0047,B00405,2025-05-09,4.6,9,5.0,
F00322,C0048,B00406,2022-12-23,4.0,7,3.7,"Decent workshop, learned some new things"
F00323,C0048,B00407,2023-03-07,4.3,8,4.0,"Good course overall, met expectations"
F00324,C0048,B00408,2023-05-16,4.1,8,3.8,
F00325,C0048,B00410,2023-10-18,4.0,8,4.3,
F00326,C0048,B00411,2023-12-19,4.9,10,4.6,
F00327,C0048,B00412,2024-02-25,3.9,8,4.1,"Decent workshop, learned some new things"
F00328,C0048,B00413,2024-05-15,4.1,7,3.9,
F00329,C0048,B00414,2024-08-11,5.0,9,4.8,
F00330,C0049,B00415,2021-02-19,4.9,9,4.7,Great real-world examples and case studies
F00331,C0049,B00416,2021-04-28,4.4,8,4.9,Trainer was knowledgeable
F00332,C0049,B00417,2021-07-22,4.0,7,4.6,Trainer was knowledgeable
F00333,C0049,B00418,2021-10-01,4.7,10,5.0,"Good pace, well-structured content"
F00334,C0049,B00419,2021-12-07,4.4,7,4.8,
F00335,C0049,B00421,2022-05-07,4.2,8,4.3,
F00336,C0049,B00423,2022-10-26,3.4,3,3.5,Trainer rushed through important topics
F00337,C0050,B00426,2025-10-28,3.8,8,3.9,"Good course overall, met expectations"
F00338,C0051,B00427,2025-02-08,3.4,1,3.5,Not enough time for questions
F00339,C0051,B00428,2025-05-05,3.8,7,3.7,"Good course overall, met expectations"
F00340,C0052,B00430,2021-11-26,4.2,8,4.2,"Decent workshop, learned some new things"
F00341,C0052,B00431,2022-02-21,4.5,9,4.8,
F00342,C0052,B00432,2022-05-19,3.9,7,4.3,
F00343,C0052,B00436,2023-06-23,5.0,10,5.0,"Excellent trainer, very practical content"
F00344,C0052,B00437,2023-09-19,3.6,8,3.6,"Good course overall, met expectations"
F00345,C0053,B00438,2021-10-08,3.4,5,3.5,"Too theoretical, needed more practical exercises"
F00346,C0054,B00440,2022-03-18,4.0,7,4.4,
F00347,C0054,B00441,2022-05-18,3.9,7,3.5,
F00348,C0054,B00443,2022-08-16,4.2,7,4.7,"Good course overall, met expectations"
F00349,C0055,B00444,2022-03-29,4.1,7,4.4,
F00350,C0055,B00447,2022-09-26,4.5,10,4.9,"Exceeded expectations, highly recommend"
F00351,C0055,B00448,2022-12-12,3.8,8,3.9,
F00352,C0055,B00449,2023-02-19,4.3,8,4.1,
F00353,C0055,B00450,2023-04-18,3.8,7,4.0,
F00354,C0055,B00451,2023-06-16,4.5,10,4.5,Very useful tools and frameworks provided
F00355,C0055,B00452,2023-08-02,3.7,8,3.7,"Good course overall, met expectations"
F00356,C0055,B00453,2023-09-30,5.0,10,5.0,"Excellent trainer, very practical content"
F00357,C0055,B00454,2023-12-02,5.0,9,4.9,Very useful tools and frameworks provided
F00358,C0056,B00456,2024-03-11,3.8,8,4.2,
F00359,C0056,B00457,2024-04-07,4.3,8,4.9,"Decent workshop, learned some new things"
F00360,C0057,B00458,2022-04-24,4.4,8,4.6,
F00361,C0057,B00459,2022-06-13,4.6,9,4.6,
F00362,C0057,B00460,2022-08-01,4.6,9,5.0,
F00363,C0057,B00461,2022-09-22,3.7,8,3.9,"Useful content, could use more examples"
F00364,C0057,B00462,2022-10-22,4.8,10,5.0,
F00365,C0057,B00463,2022-12-12,4.6,10,4.8,Very useful tools and frameworks provided
F00366,C0057,B00464,2023-02-05,4.6,9,4.5,Great real-world examples and case studies
F00367,C0057,B00465,2023-03-23,4.7,9,5.0,"Excellent trainer, very practical content"
F00368,C0057,B00468,2023-07-11,3.4,6,3.9,"Pace was too fast, hard to follow"
F00369,C0057,B00469,2023-08-14,4.3,7,4.4,"Useful content, could use more examples"
